County/City,Democratic,Republican,Total Votes Cast,Year,Rep Share
Hampton City,18180,25537,44068,1984,57.94907869655986
Hanover County,4831,18800,23718,1984,79.26469348174382
Harrisonburg City,2384,5221,7661,1984,68.15037201409737
Henrico County,21336,63864,85448,1984,74.74019286583653
Henry County,6976,12693,19906,1984,63.764694062091834
Highland County,398,997,1406,1984,70.9103840682788
Hopewell City,2564,5661,8292,1984,68.27062228654124
Isle of Wight County,3650,5664,9412,1984,60.17849553761156
James City County,3486,7104,10677,1984,66.53554369204832
King and Queen County,1201,1449,2664,1984,54.391891891891895
King George County,1450,2356,3841,1984,61.33819317885967
King William County,1448,2803,4284,1984,65.42950513538749
Lancaster County,1559,3416,5044,1984,67.72402854877082
Lee County,5085,5365,10554,1984,50.83380708736024
Lexington City,946,1197,2163,1984,55.33980582524272
Loudoun County,8227,17765,26128,1984,67.99219228413962
Louisa County,2703,3789,6543,1984,57.90921595598349
Lunenburg County,1754,2713,4526,1984,59.94255413168361
Lynchburg City (CD 5),1305,4714,6042,1984,78.02052300562728
Lynchburg City (CD 6),7237,13333,20730,1984,64.3174143753015
Madison County,1302,2723,4055,1984,67.15166461159063
Manassas City (CD 7),1819,4604,6452,1984,71.35771853688779
Manassas County (CD 8),5,9,14,1984,64.28571428571429
Manassas Park City,375,975,1355,1984,71.95571955719558
Martinsville City,2942,4234,7254,1984,58.3677970774745
Mathews County,1106,2868,4005,1984,71.61048689138576
Mecklenburg County,3438,6777,10316,1984,65.69406746801086
Middlesex County,1206,2612,3885,1984,67.23294723294724
Montgomery County,7202,12428,19765,1984,62.878826207943334
Nelson County,2021,2777,4853,1984,57.22233669894911
New Kent County,1204,2679,3899,1984,68.70992562195434
Newport News City,21834,33614,55698,1984,60.350461416927
Norfolk City,38913,36360,75516,1984,48.14873669156205
Northampton County,2226,2906,5207,1984,55.80948722873055
Northumberland County,1407,3166,4628,1984,68.40968020743301
Norton City,842,806,1668,1984,48.32134292565947
Nottoway County,2296,3418,5793,1984,59.00224408769204
Orange County,2285,4483,6821,1984,65.72350095293945
Page County,2437,5021,7519,1984,66.77749700758079
Patrick County,1908,4703,6674,1984,70.46748576565777
Petersburg City,9248,5753,15074,1984,38.16505240811994
Pittsylvania County,7791,15743,23824,1984,66.08042310275353
Poquoson City,647,3667,4328,1984,84.72735674676525
Portsmouth City,21623,18940,40801,1984,46.420430871792355
Powhatan County,1381,3921,5327,1984,73.60615731180778
Prince Edward County,2589,3454,6156,1984,56.107862248213124
Prince George County,2136,4999,7178,1984,69.64335469490109
Prince William County (CD 7),3226,8969,12232,1984,73.32406801831262
Prince William County (CD 8),12405,26023,38571,1984,67.46778667911126
Pulaski County,4364,8242,12699,1984,64.90274824789354
Radford City,1781,2855,4669,1984,61.1479974298565
Rappahannock County,999,1696,2707,1984,62.652382711488734
Richmond County,830,1869,2730,1984,68.46153846153847
Richmond City,49408,38754,88628,1984,43.726587534413504
Roanoke County,10569,23348,34054,1984,68.56169612967639
Roanoke City,17300,19008,36492,1984,52.08812890496547
Rockbridge County,2098,4067,6194,1984,65.66031643525993
Rockingham County,4220,13480,17807,1984,75.70056719267704
Russell County,6760,5738,12599,1984,45.5432970870704
Salem City,3347,6419,9810,1984,65.43323139653415
Scott County,3904,5804,9821,1984,59.097851542612766
Shenandoah County,2771,9048,11900,1984,76.03361344537815
Smyth County,4102,8593,12811,1984,67.07516977597378
S. Boston City,974,1899,2893,1984,65.64120290356031
Southampton County,3300,4669,8051,1984,57.992795925971926
Spotsylvania County,4012,8207,12297,1984,66.73985524924778
Stafford County (CD 7),2345,5704,8085,1984,70.55040197897341
Stafford County (CD 8),2084,4589,6697,1984,68.52321935194864
Staunton City,2012,6137,8196,1984,74.87798926305516
Suffolk City,8842,10128,19119,1984,52.973481876667186
Surry County,1875,1462,3370,1984,43.38278931750742
Sussex County,2408,2183,4731,1984,46.142464595223
Tazewell County,8014,9645,17896,1984,53.89472507822977
Virginia Beach City,24703,72571,97594,1984,74.36010410476054
Warren County,2551,5016,7631,1984,65.73188310837374
Washington County,5573,12132,17826,1984,68.05789296533153
Waynesboro City,1579,4465,6079,1984,73.44958052311236
Westmoreland County,2363,3219,5663,1984,56.84266289952322
Williamsburg City,1469,1913,3402,1984,56.231628453850675
Winchester City,2064,5055,7152,1984,70.67953020134229
Wise County,7303,7909,15399,1984,51.360477953113836
Wythe County,2996,6773,9866,1984,68.64990877762011
York County,4063,10214,14337,1984,71.24224035711795
TOTALS,796250,1337078,2146635,1984,62.2871610683698
Accomack County,4443,6926,11542,1988,60.00693120776295
Albemarle County,10363,15117,25753,1988,58.699957286529724
Alexandria City,24358,20913,45804,1988,45.657584490437515
Alleghany County,2316,2555,4926,1988,51.86764108810394
Amelia County,1359,2187,3594,1988,60.85141903171953
Amherst County,3567,6507,10151,1988,64.10205891045217
Appomattox County,1740,3205,5040,1988,63.59126984126984
Arlington County,40314,34191,75365,1988,45.367212897233465
Augusta County,4170,13251,17634,1988,75.1446070091868
Bath County,881,1273,2167,1988,58.744808491001386
Bedford County,5406,10702,16382,1988,65.32779880356489
Bedford City,960,1322,2328,1988,56.786941580756015
Bland County,937,1556,2546,1988,61.115475255302435
Botetourt County,3763,5687,9591,1988,59.29517255760609
Bristol City,2446,4407,6895,1988,63.91588107324148
Brunswick County,3070,2742,5884,1988,46.60095173351461
Buchanan County,6935,3912,10965,1988,35.677154582763336
Buckingham County,1941,2481,4471,1988,55.49094162379781
