5,2001/01/21,SEX OFFENSE
2,2001/01/21,STALKING
221,2001/01/21,THEFT
6,2001/01/21,WEAPONS VIOLATION
1,2001/01/22,ARSON
64,2001/01/22,ASSAULT
181,2001/01/22,BATTERY
65,2001/01/22,BURGLARY
99,2001/01/22,CRIMINAL DAMAGE
41,2001/01/22,CRIMINAL TRESPASS
1,2001/01/22,CRIM SEXUAL ASSAULT
53,2001/01/22,DECEPTIVE PRACTICE
2,2001/01/22,GAMBLING
1,2001/01/22,HOMICIDE
1,2001/01/22,INTERFERENCE WITH PUBLIC OFFICER
2,2001/01/22,INTIMIDATION
2,2001/01/22,KIDNAPPING
2,2001/01/22,LIQUOR LAW VIOLATION
66,2001/01/22,MOTOR VEHICLE THEFT
156,2001/01/22,NARCOTICS
8,2001/01/22,OFFENSE INVOLVING CHILDREN
107,2001/01/22,OTHER OFFENSE
9,2001/01/22,PROSTITUTION
3,2001/01/22,PUBLIC PEACE VIOLATION
43,2001/01/22,ROBBERY
5,2001/01/22,SEX OFFENSE
1,2001/01/22,STALKING
259,2001/01/22,THEFT
8,2001/01/22,WEAPONS VIOLATION
3,2001/01/23,ARSON
60,2001/01/23,ASSAULT
208,2001/01/23,BATTERY
66,2001/01/23,BURGLARY
117,2001/01/23,CRIMINAL DAMAGE
45,2001/01/23,CRIMINAL TRESPASS
4,2001/01/23,CRIM SEXUAL ASSAULT
50,2001/01/23,DECEPTIVE PRACTICE
1,2001/01/23,GAMBLING
3,2001/01/23,KIDNAPPING
5,2001/01/23,LIQUOR LAW VIOLATION
69,2001/01/23,MOTOR VEHICLE THEFT
183,2001/01/23,NARCOTICS
7,2001/01/23,OFFENSE INVOLVING CHILDREN
84,2001/01/23,OTHER OFFENSE
26,2001/01/23,PROSTITUTION
7,2001/01/23,PUBLIC PEACE VIOLATION
40,2001/01/23,ROBBERY
5,2001/01/23,SEX OFFENSE
1,2001/01/23,STALKING
253,2001/01/23,THEFT
13,2001/01/23,WEAPONS VIOLATION
1,2001/01/24,ARSON
67,2001/01/24,ASSAULT
181,2001/01/24,BATTERY
53,2001/01/24,BURGLARY
87,2001/01/24,CRIMINAL DAMAGE
50,2001/01/24,CRIMINAL TRESPASS
3,2001/01/24,CRIM SEXUAL ASSAULT
49,2001/01/24,DECEPTIVE PRACTICE
2,2001/01/24,GAMBLING
1,2001/01/24,INTERFERENCE WITH PUBLIC OFFICER
1,2001/01/24,INTIMIDATION
3,2001/01/24,KIDNAPPING
1,2001/01/24,LIQUOR LAW VIOLATION
70,2001/01/24,MOTOR VEHICLE THEFT
142,2001/01/24,NARCOTICS
2,2001/01/24,OFFENSE INVOLVING CHILDREN
67,2001/01/24,OTHER OFFENSE
20,2001/01/24,PROSTITUTION
4,2001/01/24,PUBLIC PEACE VIOLATION
38,2001/01/24,ROBBERY
5,2001/01/24,SEX OFFENSE
3,2001/01/24,STALKING
243,2001/01/24,THEFT
8,2001/01/24,WEAPONS VIOLATION
73,2001/01/25,ASSAULT
184,2001/01/25,BATTERY
72,2001/01/25,BURGLARY
115,2001/01/25,CRIMINAL DAMAGE
55,2001/01/25,CRIMINAL TRESPASS
4,2001/01/25,CRIM SEXUAL ASSAULT
44,2001/01/25,DECEPTIVE PRACTICE
1,2001/01/25,HOMICIDE
1,2001/01/25,INTIMIDATION
1,2001/01/25,KIDNAPPING
6,2001/01/25,LIQUOR LAW VIOLATION
75,2001/01/25,MOTOR VEHICLE THEFT
166,2001/01/25,NARCOTICS
3,2001/01/25,OFFENSE INVOLVING CHILDREN
74,2001/01/25,OTHER OFFENSE
24,2001/01/25,PROSTITUTION
5,2001/01/25,PUBLIC PEACE VIOLATION
32,2001/01/25,ROBBERY
3,2001/01/25,SEX OFFENSE
1,2001/01/25,STALKING
237,2001/01/25,THEFT
7,2001/01/25,WEAPONS VIOLATION
2,2001/01/26,ARSON
76,2001/01/26,ASSAULT
206,2001/01/26,BATTERY
77,2001/01/26,BURGLARY
151,2001/01/26,CRIMINAL DAMAGE
41,2001/01/26,CRIMINAL TRESPASS
5,2001/01/26,CRIM SEXUAL ASSAULT
51,2001/01/26,DECEPTIVE PRACTICE
1,2001/01/26,GAMBLING
3,2001/01/26,INTERFERENCE WITH PUBLIC OFFICER
1,2001/01/26,INTIMIDATION
3,2001/01/26,KIDNAPPING
5,2001/01/26,LIQUOR LAW VIOLATION
73,2001/01/26,MOTOR VEHICLE THEFT
168,2001/01/26,NARCOTICS
4,2001/01/26,OFFENSE INVOLVING CHILDREN
88,2001/01/26,OTHER OFFENSE
18,2001/01/26,PROSTITUTION
6,2001/01/26,PUBLIC PEACE VIOLATION
54,2001/01/26,ROBBERY
10,2001/01/26,SEX OFFENSE
2,2001/01/26,STALKING
236,2001/01/26,THEFT
14,2001/01/26,WEAPONS VIOLATION
2,2001/01/27,ARSON
67,2001/01/27,ASSAULT
233,2001/01/27,BATTERY
52,2001/01/27,BURGLARY
128,2001/01/27,CRIMINAL DAMAGE
32,2001/01/27,CRIMINAL TRESPASS
4,2001/01/27,CRIM SEXUAL ASSAULT
34,2001/01/27,DECEPTIVE PRACTICE
1,2001/01/27,HOMICIDE
1,2001/01/27,INTERFERENCE WITH PUBLIC OFFICER
4,2001/01/27,KIDNAPPING
4,2001/01/27,LIQUOR LAW VIOLATION
73,2001/01/27,MOTOR VEHICLE THEFT
173,2001/01/27,NARCOTICS
5,2001/01/27,OFFENSE INVOLVING CHILDREN
76,2001/01/27,OTHER OFFENSE
13,2001/01/27,PROSTITUTION
7,2001/01/27,PUBLIC PEACE VIOLATION
50,2001/01/27,ROBBERY
3,2001/01/27,SEX OFFENSE
